round_epochs,val_loss,val_accuracy,loss,accuracy,activation,batch_size,dropout,epochs,flatten_layer,kernel_size,last_activation,losses,lr,num_filters,optimizer
5,0.7857400849887303,0.5199999809265137,0.4449787204330032,0.84275186,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,64,<class 'keras.optimizers.Adam'>
5,0.8997403764724732,0.5114285945892334,0.3217503111397605,0.92383295,<function relu at 0x13c0421e0>,64,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,128,<class 'keras.optimizers.Adam'>
15,0.6978045357976641,0.5400000214576721,0.6857117407152049,0.55651104,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
15,0.6999696513584682,0.5257142782211304,0.6695059290389171,0.6019656,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
15,0.7148509928158351,0.5314285755157471,0.5545918500687039,0.75921375,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
15,0.7037290300641741,0.5285714268684387,0.47146203110786267,0.84889436,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
15,1.669873378617423,0.5057142972946167,0.030783272435298277,1.0,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,64,<class 'keras.optimizers.Adam'>
15,1.8049381971359253,0.4828571379184723,0.007825809567526019,1.0,<function relu at 0x13c0421e0>,64,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,128,<class 'keras.optimizers.Adam'>
15,0.6773792917387826,0.5514285564422607,0.6866321330867177,0.5614251,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
15,0.6938779555048261,0.5314285755157471,0.6647681658332413,0.62407863,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
15,0.7280485214505876,0.5057142972946167,0.5405647767849577,0.78624076,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
15,0.7364581618990217,0.5114285945892334,0.4663262386286874,0.85503685,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
15,1.5410013035365513,0.49714285135269165,0.0378176967455509,1.0,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,64,<class 'keras.optimizers.Adam'>
15,1.914125062397548,0.5257142782211304,0.00879542864813339,1.0,<function relu at 0x13c0421e0>,64,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,128,<class 'keras.optimizers.Adam'>
5,0.7201404438699994,0.5371428728103638,0.7225397470835093,0.54422605,<function relu at 0x13c0421e0>,128,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
5,0.7058605664116996,0.47428572177886963,0.6898104706618944,0.53685504,<function relu at 0x13c0421e0>,128,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
5,0.6929385549681527,0.5314285755157471,0.6575841919795887,0.61916465,<function relu at 0x13c0421e0>,128,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
5,0.6889798808097839,0.5714285969734192,0.6418401880111976,0.63882065,<function relu at 0x13c0421e0>,128,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
5,0.7059993614469255,0.5571428537368774,0.5239368239257494,0.7751843,<function relu at 0x13c0421e0>,128,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,64,<class 'keras.optimizers.Adam'>
5,0.7385401776858739,0.5285714268684387,0.47105543590002036,0.8243243,<function relu at 0x13c0421e0>,128,0.01,5,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,128,<class 'keras.optimizers.Adam'>
5,0.7527943648610796,0.5028571486473083,0.7565357912084687,0.47051597,<function relu at 0x13c0421e0>,128,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
5,0.7014489763123648,0.49142858386039734,0.6940243727452046,0.5135135,<function relu at 0x13c0421e0>,128,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
5,0.6895497458321708,0.5257142782211304,0.664319862018932,0.6081081,<function relu at 0x13c0421e0>,128,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
5,0.6978151546205793,0.5514285564422607,0.6302116008004041,0.68550366,<function relu at 0x13c0421e0>,128,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
5,0.766978783266885,0.48571428656578064,0.49254689682320824,0.7985258,<function relu at 0x13c0421e0>,128,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,64,<class 'keras.optimizers.Adam'>
5,0.72717914887837,0.4942857027053833,0.5517641190228942,0.7899263,<function relu at 0x13c0421e0>,128,0.01,5,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,128,<class 'keras.optimizers.Adam'>
15,0.7137121071134295,0.47428572177886963,0.6879123191575747,0.5479115,<function relu at 0x13c0421e0>,128,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
15,0.7011420580318996,0.5057142972946167,0.6746324390099734,0.5724816,<function relu at 0x13c0421e0>,128,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
15,0.6876455950736999,0.5742856860160828,0.5985970038746733,0.72727275,<function relu at 0x13c0421e0>,128,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
15,0.7046319648197719,0.5199999809265137,0.5475602595167606,0.7948403,<function relu at 0x13c0421e0>,128,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
15,1.108800015449524,0.49714285135269165,0.1396214534558301,0.97665846,<function relu at 0x13c0421e0>,128,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,64,<class 'keras.optimizers.Adam'>
15,1.5136899716513497,0.49142858386039734,0.03725338832495839,0.9987715,<function relu at 0x13c0421e0>,128,0.01,15,100,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,128,<class 'keras.optimizers.Adam'>
15,0.71833594254085,0.47999998927116394,0.6993023032638306,0.53685504,<function relu at 0x13c0421e0>,128,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,64,<class 'keras.optimizers.Adam'>
15,0.6926833183424813,0.5428571701049805,0.672545679810592,0.6019656,<function relu at 0x13c0421e0>,128,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.01,128,<class 'keras.optimizers.Adam'>
15,0.703317791734423,0.5257142782211304,0.5899739408961678,0.7223587,<function relu at 0x13c0421e0>,128,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,64,<class 'keras.optimizers.Adam'>
15,0.6980761109079634,0.5571428537368774,0.5164204430228662,0.8132678,<function relu at 0x13c0421e0>,128,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,0.1,128,<class 'keras.optimizers.Adam'>
15,1.2481085566111974,0.47428572177886963,0.12111970690749495,0.9914005,<function relu at 0x13c0421e0>,128,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,64,<class 'keras.optimizers.Adam'>
15,1.4607738106591361,0.49142858386039734,0.037374103611165825,1.0,<function relu at 0x13c0421e0>,128,0.01,15,150,2,<function sigmoid at 0x13c0422f0>,<function binary_crossentropy at 0x13bfe0ae8>,1,128,<class 'keras.optimizers.Adam'>
